X1,Y1,H,W,Type,Value,Group
390,1196,22,77,label,[COP,0
509,1201,19,99,label,YMME],0
606,1172,10,213,label,aOMtae[DCeasat,0
218,1169,13,249,label,erecwtracPaaraet,0
509,1172,7,31,label,ats,0
230,1145,8,137,label,eeeettP,0
404,1145,8,51,label,eie,0
737,1145,8,28,label,Se,0
426,1077,17,88,label,rFee,0
59,1031,30,163,label,derYatrdCast—e,0
63,1017,10,223,label,PearspeeterctecaogFo~,0
794,1017,12,114,label,pkotaaya,0
419,1017,10,53,label,NOW,0
506,1017,7,155,label,Dogeptcme,0
748,1015,5,37,label,e~,0
63,993,7,133,label,macsLae,0
542,946,0,153,label,~Savnt‘ttetwr.,0
63,942,7,172,label,Yaotmoawestoe,0
470,942,9,58,label,toe,0
65,917,8,44,label,wate,0
181,917,8,91,label,e?Sate,0
56,859,28,155,label,SurrneeMo:,0
303,869,21,143,label,TaeCraSd,0
119,566,8,46,label,Re,0
213,566,10,36,label,Sa,0
119,525,10,91,label,creeFoca,0
121,484,12,238,label,fwacw.aye.wePeeye,0
119,317,12,208,label,esaanteeaeatr?,0
95,273,10,147,label,oweewea,0
332,273,10,48,label,toy,0
90,232,10,189,label,Doewt.oye.ee,0
353,232,13,114,label,daata),0
118,193,3,25,label,--,0
63,114,10,63,label,tes,0
550,116,12,75,label,mn:Let,0
687,106,27,53,label,",LT",0
3,-28,30,991,field,nan,0
278,112,30,162,field,nan,0
159,216,30,66,field,nan,0
219,333,30,74,field,nan,0
378,340,30,57,field,nan,0
349,386,30,50,field,nan,0
54,407,52,238,field,nan,0
54,463,54,238,field,nan,0
296,463,54,642,field,nan,0
181,488,30,56,field,nan,0
54,521,54,238,field,nan,0
54,579,54,238,field,nan,0
296,579,54,642,field,nan,0
653,647,30,60,field,nan,0
126,684,30,138,field,nan,0
659,710,27,51,field,nan,0
819,711,26,51,field,nan,0
893,718,30,52,field,nan,0
180,732,30,66,field,nan,0
660,754,30,286,field,nan,0
659,790,30,51,field,nan,0
816,790,30,127,field,nan,0
657,805,30,285,field,nan,0
191,814,30,73,field,nan,0
737,876,34,60,field,nan,0
887,876,34,60,field,nan,0
653,877,33,62,field,nan,0
820,879,27,50,field,nan,0
126,899,30,55,field,nan,0
892,919,30,50,field,nan,0
741,931,30,52,field,nan,0
891,931,30,53,field,nan,0
251,940,30,63,field,nan,0
659,962,27,50,field,nan,0
819,963,26,51,field,nan,0
523,977,30,60,field,nan,0
887,1002,34,60,field,nan,0
659,1005,26,51,field,nan,0
741,1005,27,52,field,nan,0
819,1005,27,51,field,nan,0
315,1025,30,55,field,nan,0
657,1042,30,213,field,nan,0
63,1093,30,857,field,nan,0
63,1117,30,855,field,nan,0
63,1134,30,64,field,nan,0
610,1141,30,60,field,nan,0
0,1253,30,992,field,nan,0
944,402,233,896,checkbox,nan,0
659,710,27,51,checkbox,nan,0
819,711,26,51,checkbox,nan,0
737,876,34,60,checkbox,nan,0
887,876,34,60,checkbox,nan,0
653,877,33,62,checkbox,nan,0
820,879,27,50,checkbox,nan,0
659,962,27,50,checkbox,nan,0
819,963,26,51,checkbox,nan,0
887,1002,34,60,checkbox,nan,0
659,1005,26,51,checkbox,nan,0
741,1005,27,52,checkbox,nan,0
819,1005,27,51,checkbox,nan,0
